Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Vellore,2017-11-08,North,1254,0.12,401.28,Tamil Nadu
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749,0.18,149.8,Tamil Nadu
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360,0.21,165.2,Tamil Nadu
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896,0.25,89.6,Tamil Nadu
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355,0.26,918.45,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305,0.26,322.7,Tamil Nadu
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826,0.33,346.92,Tamil Nadu
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847,0.32,147.76,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791,0.23,181.93,Tamil Nadu
OD10,Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795,0.27,484.65,Tamil Nadu
OD11,Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903,0.13,437.69,Tamil Nadu
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701,0.1,308.44,Tamil Nadu
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277,0.25,63.85,Tamil Nadu
OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,0.28,318.82,Tamil Nadu
OD22,Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948,0.13,47.4,Tamil Nadu
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707,0.34,148.47,Tamil Nadu
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265,0.22,569.25,Tamil Nadu
OD37,James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934,0.35,56.04,Tamil Nadu
OD42,Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868,0.18,616.44,Tamil Nadu
OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663,0.17,731.72,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420,0.19,355.0,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627,0.33,181.83,Tamil Nadu
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760,0.28,60.8,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160,0.16,510.4,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294,0.23,77.64,Tamil Nadu
OD70,Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232,0.14,554.4,Tamil Nadu
OD76,Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489,0.12,193.57,Tamil Nadu
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250,0.27,75.0,Tamil Nadu
OD78,Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358,0.31,488.88,Tamil Nadu
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303,0.26,621.81,Tamil Nadu
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027,0.34,912.15,Tamil Nadu
OD82,Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739,0.29,765.16,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990,0.26,227.7,Tamil Nadu
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354,0.11,682.66,Tamil Nadu
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111,0.21,189.99,Tamil Nadu
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230,0.13,442.8,Tamil Nadu
OD97,Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856,0.21,723.84,Tamil Nadu
OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301,0.28,391.17,Tamil Nadu
OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567,0.18,175.77,Tamil Nadu
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220,0.1,111.0,Tamil Nadu
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155,0.3,581.85,Tamil Nadu
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983,0.11,186.77,Tamil Nadu
OD119,Akash,Food Grains,Rice,Chennai,2016-04-05,South,903,0.1,90.3,Tamil Nadu
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235,0.12,74.1,Tamil Nadu
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243,0.24,174.02,Tamil Nadu
OD122,Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649,0.34,201.19,Tamil Nadu
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354,0.11,188.32,Tamil Nadu
OD124,Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443,0.27,187.59,Tamil Nadu
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352,0.17,870.24,Tamil Nadu
OD128,Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293,0.23,336.18,Tamil Nadu
OD129,Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458,0.29,597.78,Tamil Nadu
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801,0.22,126.07,Tamil Nadu
OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,0.29,416.13,Tamil Nadu
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112,0.28,105.6,Tamil Nadu
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640,0.24,140.8,Tamil Nadu
OD141,Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866,0.32,381.04,Tamil Nadu
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551,0.13,573.87,Tamil Nadu
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125,0.33,292.5,Tamil Nadu
OD149,Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768,0.1,184.32,Tamil Nadu
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985,0.26,734.45,Tamil Nadu
OD151,Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287,0.13,1029.15,Tamil Nadu
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774,0.15,620.9,Tamil Nadu
OD161,Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713,0.3,192.51,Tamil Nadu
OD164,Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516,0.32,121.28,Tamil Nadu
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442,0.28,605.64,Tamil Nadu
OD166,Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690,0.33,422.5,Tamil Nadu
OD167,Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021,0.13,343.57,Tamil Nadu
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340,0.25,491.4,Tamil Nadu
OD169,Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705,0.15,176.25,Tamil Nadu
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215,0.2,60.75,Tamil Nadu
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552,0.25,237.36,Tamil Nadu
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412,0.11,564.8,Tamil Nadu
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791,0.32,150.29,Tamil Nadu
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476,0.33,420.92,Tamil Nadu
OD181,Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605,0.25,433.35,Tamil Nadu
OD182,Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718,0.2,171.8,Tamil Nadu
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433,0.3,472.89,Tamil Nadu
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093,0.11,334.88,Tamil Nadu
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149,0.17,623.21,Tamil Nadu
OD193,Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972,0.32,414.12,Tamil Nadu
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060,0.25,432.6,Tamil Nadu
OD198,Verma,Food Grains,Organic Staples,Pudukottai,2018-11-06,East,914,0.34,338.18,Tamil Nadu
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,East,1352,0.3,527.28,Tamil Nadu
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,East,682,0.25,170.5,Tamil Nadu
OD202,Vidya,Bakery,Cakes,Salem,2015-08-03,West,2421,0.25,484.2,Tamil Nadu
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,2015-08-03,West,2245,0.24,404.1,Tamil Nadu
OD205,Ram,Oil & Masala,Spices,Virudhunagar,2018-06-03,South,1033,0.3,185.94,Tamil Nadu
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,2018-12-09,West,1998,0.29,139.86,Tamil Nadu
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,2018-12-01,Central,1469,0.15,646.36,Tamil Nadu
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,2018-12-01,Central,1899,0.25,360.81,Tamil Nadu
OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,2018-12-01,Central,2194,0.2,153.58,Tamil Nadu
OD210,Amrish,Beverages,Soft Drinks,Vellore,2018-12-01,Central,1942,0.29,504.92,Tamil Nadu
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,2018-12-01,Central,609,0.3,207.06,Tamil Nadu
OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,2016-02-09,Central,2353,0.26,423.54,Tamil Nadu
OD213,Peer,Beverages,Soft Drinks,Salem,2016-01-02,East,1591,0.15,270.47,Tamil Nadu
OD214,Arutra,Food Grains,Rice,Krishnagiri,2016-01-02,East,1353,0.11,527.67,Tamil Nadu
OD215,Jonas,Beverages,Health Drinks,Namakkal,2016-01-02,East,1020,0.21,81.6,Tamil Nadu
OD216,Harish,Snacks,Noodles,Ramanadhapuram,2016-01-02,East,1362,0.31,177.06,Tamil Nadu
OD217,Sundar,Food Grains,Rice,Krishnagiri,2016-01-02,East,1733,0.31,433.25,Tamil Nadu
OD226,Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,2016-08-09,Central,621,0.24,173.88,Tamil Nadu
OD227,Komal,Food Grains,Organic Staples,Madurai,2016-08-09,Central,1230,0.17,295.2,Tamil Nadu
OD228,Harish,Snacks,Cookies,Salem,2016-08-09,Central,560,0.34,240.8,Tamil Nadu
OD232,Komal,Beverages,Soft Drinks,Namakkal,2018-04-07,South,1480,0.22,444.0,Tamil Nadu
OD233,Komal,Food Grains,Dals & Pulses,Salem,2018-04-07,South,826,0.18,247.8,Tamil Nadu
OD234,Ramesh,Snacks,Cookies,Ooty,2018-04-07,South,1846,0.22,276.9,Tamil Nadu
OD235,Mathew,Beverages,Soft Drinks,Viluppuram,2018-04-07,South,2045,0.12,552.15,Tamil Nadu
OD236,Vince,Fruits & Veggies,Organic Fruits,Nagercoil,2018-04-07,South,1983,0.17,773.37,Tamil Nadu
OD237,Shah,Bakery,Cakes,Bodi,2018-11-12,West,650,0.16,247.0,Tamil Nadu
OD238,Ravi,Bakery,Breads & Buns,Ramanadhapuram,2017-06-04,Central,2163,0.31,216.3,Tamil Nadu
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Bodi,2017-06-04,Central,1481,0.15,518.35,Tamil Nadu
OD240,Arvind,Snacks,Cookies,Trichy,2017-06-04,Central,2492,0.14,124.6,Tamil Nadu
OD241,Ramesh,Bakery,Cakes,Nagercoil,2017-06-04,Central,962,0.33,423.28,Tamil Nadu
OD242,Malik,Beverages,Health Drinks,Coimbatore,2017-06-04,Central,1432,0.3,214.8,Tamil Nadu
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,Virudhunagar,2017-06-04,Central,523,0.12,78.45,Tamil Nadu
OD244,Amy,Oil & Masala,Masalas,Chennai,2017-06-04,Central,1540,0.11,646.8,Tamil Nadu
OD245,Roshan,Bakery,Biscuits,Coimbatore,2015-06-01,Central,817,0.15,326.8,Tamil Nadu
OD246,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2015-06-01,Central,2462,0.31,369.3,Tamil Nadu
OD247,Sudeep,Fruits & Veggies,Organic Fruits,Perambalur,2015-06-01,Central,962,0.21,288.6,Tamil Nadu
OD248,Ridhesh,Beverages,Health Drinks,Cumbum,2015-06-01,Central,538,0.19,59.18,Tamil Nadu
OD249,Ravi,Snacks,Cookies,Ooty,2015-06-01,Central,1556,0.17,482.36,Tamil Nadu
OD250,James,Beverages,Health Drinks,Vellore,2017-12-10,West,2133,0.26,959.85,Tamil Nadu
OD251,Mathew,Beverages,Health Drinks,Tirunelveli,2017-09-11,West,1474,0.14,235.84,Tamil Nadu
OD252,Amrish,Beverages,Health Drinks,Dindigul,2017-09-11,West,531,0.14,127.44,Tamil Nadu
OD253,Ramesh,Food Grains,Rice,Pudukottai,2017-12-10,East,1769,0.19,636.84,Tamil Nadu
OD254,Surya,Fruits & Veggies,Organic Vegetables,Pudukottai,2017-12-10,East,1257,0.34,62.85,Tamil Nadu
OD259,Esther,Beverages,Soft Drinks,Dharmapuri,2018-12-01,East,660,0.29,290.4,Tamil Nadu
OD260,Shree,Bakery,Breads & Buns,Salem,2018-12-01,East,2114,0.32,359.38,Tamil Nadu
OD261,Sabeela,Oil & Masala,Masalas,Tenkasi,2018-12-01,East,1278,0.14,63.9,Tamil Nadu
OD262,Ravi,Food Grains,Organic Staples,Krishnagiri,2018-06-08,Central,867,0.18,216.75,Tamil Nadu
OD265,Jonas,"Eggs, Meat & Fish",Fish,Cumbum,2017-06-06,Central,1200,0.19,420.0,Tamil Nadu
OD266,Harish,Fruits & Veggies,Organic Vegetables,Tirunelveli,2016-11-10,West,1167,0.18,256.74,Tamil Nadu
OD269,Adavan,Bakery,Cakes,Dharmapuri,2018-12-09,East,1507,0.16,180.84,Tamil Nadu
OD270,Suresh,Beverages,Soft Drinks,Namakkal,2018-12-09,East,1612,0.11,612.56,Tamil Nadu
OD283,Sheeba,Beverages,Soft Drinks,Chennai,2016-11-02,West,1007,0.24,433.01,Tamil Nadu
OD305,Anu,Oil & Masala,Edible Oil & Ghee,Kanyakumari,2016-05-04,East,931,0.14,297.92,Tamil Nadu
OD307,Verma,Fruits & Veggies,Fresh Fruits,Ooty,2015-06-01,East,2396,0.35,383.36,Tamil Nadu
OD308,Sundar,Oil & Masala,Spices,Pudukottai,2015-06-01,East,1677,0.18,586.95,Tamil Nadu
OD310,Vinne,Snacks,Noodles,Namakkal,2017-09-12,West,1401,0.26,196.14,Tamil Nadu
OD311,Peer,Oil & Masala,Edible Oil & Ghee,Viluppuram,2017-09-12,West,678,0.29,189.84,Tamil Nadu
OD312,Harish,Snacks,Chocolates,Vellore,2017-09-12,West,2417,0.28,797.61,Tamil Nadu
OD313,Willams,Beverages,Soft Drinks,Theni,2017-09-12,West,2211,0.18,641.19,Tamil Nadu
